category,SYMBOL,Quarter,Change
0,ARIHANTSUP,Dec 2018 - Mar 2019,0.3419958419958419
0,ARMANFIN,Dec 2019 - Mar 2020,-0.6190986485681967
0,ARROWGREEN,Dec 2021 - Mar 2022,-0.3419186263531167
0,ARROWGREEN,Sep 2021 - Dec 2021,0.3755619125459748
0,ARROWGREEN,Jun 2021 - Sep 2021,-0.3186848958333332
0,ARROWGREEN,Mar 2021 - Jun 2021,-0.2775430614234643
0,ARROWGREEN,Jun 2020 - Sep 2020,-0.13824419778002
0,ARROWGREEN,Dec 2019 - Mar 2020,-0.3398963730569947
0,ARSHIYA,Jun 2021 - Sep 2021,0.5242369838420108
0,ARSHIYA,Dec 2018 - Mar 2019,0.2760416666666666
0,ARSSINFRA,Sep 2019 - Dec 2019,-0.2343434343434343
0,AGLSL,Mar 2019 - Jun 2019,-0.2451882845188284
0,AGLSL,Mar 2018 - Jun 2018,-0.1820499745028046
0,ARVIND,Mar 2020 - Jun 2020,-0.2105263157894736
0,ARVIND,Sep 2019 - Dec 2019,-0.5387323943661972
0,ARVIND,Sep 2018 - Dec 2018,-0.7488419224088013
0,ARVSMART,Jun 2022 - Sep 2022,0.5628299894403379
0,ARVSMART,Mar 2020 - Jun 2020,0.3855035279025015
0,ARVSMART,Mar 2019 - Jun 2019,-0.2265925609234715
0,ARVSMART,Mar 2018 - Jun 2018,-0.2359662195727769
0,ASAHIINDIA,Mar 2022 - Jun 2022,0.1561131694173123
0,ASAHIINDIA,Mar 2021 - Jun 2021,-0.1433420365535247
0,ASAHIINDIA,Mar 2020 - Jun 2020,0.2233489339573582
0,ASAHIINDIA,Jun 2019 - Sep 2019,-0.0997904662126768
0,ASAHIINDIA,Mar 2018 - Jun 2018,-0.0533802610353423
0,ASAHISONG,Jun 2022 - Sep 2022,-0.0846518987341772
0,ASAHISONG,Sep 2019 - Dec 2019,-0.5016100178890877
0,ASHAPURMIN,Jun 2022 - Sep 2022,-0.2279379157427938
0,ASHAPURMIN,Sep 2021 - Dec 2021,-0.2260536398467432
0,ASHAPURMIN,Jun 2021 - Sep 2021,-0.2624137931034482
0,ASHAPURMIN,Jun 2020 - Sep 2020,0.8526970954356845
0,ASHAPURMIN,Mar 2019 - Jun 2019,-0.323943661971831
0,ASHIANA,Mar 2021 - Jun 2021,0.4268379728765168
0,ASHIANA,Dec 2018 - Mar 2019,0.193643031784841
0,ASHIANA,Jun 2018 - Sep 2018,-0.1843556168159889
0,ASHIMASYN,Mar 2021 - Jun 2021,-0.1604938271604938
0,ASHOKLEY,Mar 2021 - Jun 2021,0.1950084602368866
0,ASHOKLEY,Mar 2020 - Jun 2020,0.4911131898971
0,ASHOKLEY,Mar 2019 - Jun 2019,-0.1710808876163206
0,ASHOKA,Jun 2022 - Sep 2022,0.2183833116036505
0,ASHOKA,Mar 2020 - Jun 2020,0.4422535211267605
0,ASIANENE,Jun 2022 - Sep 2022,0.1213686249193026
0,ASIANENE,Mar 2022 - Jun 2022,0.1847704367301232
0,ASIANTILES,Mar 2022 - Jun 2022,-0.2504690431519699
0,ASIANTILES,Mar 2021 - Jun 2021,-0.2207195713192141
0,ASIANTILES,Mar 2020 - Jun 2020,0.4299281908732916
0,ASIANTILES,Dec 2019 - Mar 2020,-0.4435765673175745
0,ASIANTILES,Mar 2018 - Jun 2018,-0.4907079646017699
0,AHLEAST,Dec 2021 - Mar 2022,0.4225985710505426
0,AHLEAST,Mar 2021 - Jun 2021,0.170272548468671
0,AHLEAST,Mar 2020 - Jun 2020,0.250534568781183
0,AHLEAST,Mar 2019 - Jun 2019,-0.296304347826087
0,AHLWEST,Mar 2020 - Jun 2020,0.1143854207056998
0,AHLWEST,Dec 2019 - Mar 2020,-0.3427556607962113
0,AHLWEST,Mar 2019 - Jun 2019,-0.2199480678173209
0,AHLWEST,Jun 2018 - Sep 2018,0.1017128730354936
0,ASIANHOTNR,Dec 2021 - Mar 2022,0.1681415929203541
0,ASIANHOTNR,Mar 2019 - Jun 2019,-0.2906588824020017
0,ASIANPAINT,Mar 2020 - Jun 2020,0.2374054496071961
0,ASPINWALL,Jun 2022 - Sep 2022,0.3324544056251372
0,ASPINWALL,Dec 2021 - Mar 2022,-0.2632662397072277
0,ASPINWALL,Mar 2021 - Jun 2021,-0.1959810340934747
0,ASPINWALL,Mar 2020 - Jun 2020,0.3499796995533901
0,ASPINWALL,Jun 2018 - Sep 2018,-0.2741279691846779
0,ASTEC,Mar 2022 - Jun 2022,0.1632384102537598
0,ASTEC,Jun 2021 - Sep 2021,0.3720421393841166
0,ASTEC,Mar 2021 - Jun 2021,-0.1455078474133924
0,ASTEC,Mar 2020 - Jun 2020,-0.1509561915095619
0,ASTEC,Mar 2019 - Jun 2019,0.3215348472983554
0,ASTEC,Mar 2018 - Jun 2018,0.0975768535262206
0,ASTERDM,Mar 2022 - Jun 2022,0.3858015711376201
0,ASTERDM,Mar 2021 - Jun 2021,0.4800632911392404
0,ASTERDM,Mar 2020 - Jun 2020,0.1619465496609494
0,ASTERDM,Dec 2019 - Mar 2020,-0.4986498649864986
0,ASTERDM,Mar 2018 - Jun 2018,-0.1499601169901622
0,ASTRAMICRO,Mar 2021 - Jun 2021,0.3085221143473569
0,ASTRAMICRO,Mar 2020 - Jun 2020,0.3298915849251421
0,ASTRAMICRO,Jun 2018 - Sep 2018,0.0818414322250638
0,ASTRAL,Mar 2022 - Jun 2022,0.2468774048422423
0,ASTRAL,Sep 2021 - Dec 2021,0.116822429906542
0,ASTRAL,Mar 2021 - Jun 2021,0.2484361533542772
0,ASTRAL,Mar 2020 - Jun 2020,0.4734463276836158
0,ASTRAL,Dec 2019 - Mar 2020,-0.3811068232202972
0,ASTRAL,Mar 2019 - Jun 2019,0.0837578485961378
0,ASTRAL,Mar 2018 - Jun 2018,-0.2578621987277125
0,ASTRON,Jun 2022 - Sep 2022,-0.1388535031847134
0,ASTRON,Mar 2022 - Jun 2022,-0.1927144535840187
0,ASTRON,Mar 2020 - Jun 2020,0.2472826086956522
0,ASTRON,Mar 2019 - Jun 2019,-0.2454890788224121
0,ASTRON,Dec 2018 - Mar 2019,-0.1712538226299695
0,ATLANTA,Mar 2021 - Jun 2021,-0.1485507246376812
0,ATUL,Dec 2021 - Mar 2022,-0.1603868347937593
0,ATUL,Mar 2021 - Jun 2021,0.1696283369442477
0,ATUL,Dec 2019 - Mar 2020,-0.1369474819035884
0,ATULAUTO,Mar 2021 - Jun 2021,0.2174940898345154
0,ATULAUTO,Mar 2020 - Jun 2020,0.1351193942923705
0,ATULAUTO,Dec 2019 - Mar 2020,-0.5020850708924104
0,ATULAUTO,Dec 2018 - Mar 2019,0.1904681711013809
0,AURIONPRO,Dec 2019 - Mar 2020,-0.4215202369200395
0,AURIONPRO,Sep 2019 - Dec 2019,-0.287037037037037
0,AURIONPRO,Mar 2019 - Jun 2019,-0.3484848484848485
0,AUROPHARMA,Mar 2020 - Jun 2020,0.2644589552238807
0,AUROPHARMA,Dec 2017 - Mar 2018,-0.1067196883622788
0,AUSOMENT,Mar 2022 - Jun 2022,-0.1590574374079529
0,AUSOMENT,Mar 2021 - Jun 2021,0.2947494033412888
0,AUSOMENT,Mar 2019 - Jun 2019,0.3810198300283287
0,AUTOIND,Mar 2022 - Jun 2022,0.4627887082976902
0,AUTOIND,Mar 2021 - Jun 2021,0.6695938529088914
0,AUTOIND,Jun 2019 - Sep 2019,-0.4112903225806452
