SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,margin,ebitda,revenue,profit,Change
ANANTRAJ,anantraj,ARI,Jun 2019 - Sep 2019,14-11-2019,33.0,39.3,31.15,0.5297225891677675,0.6730413325107958,0.30479859894921196,0.8662790697674418,0.19090909090909083
ANANTRAJ,anantraj,ARI,Mar 2019 - Jun 2019,12-08-2019,27.3,35.95,24.3,-0.8473782771535582,-1.997169811320755,-0.6225312374042726,-4.774703557312253,0.31684981684981695
ANANTRAJ,anantraj,ARI,Dec 2018 - Mar 2019,30-05-2019,34.3,34.3,24.3,0.48504815002534213,0.553666981429021,0.13315116134641658,0.516084873374401,-0.2915451895043731
ANANTRAJ,anantraj,ARI,Sep 2018 - Dec 2018,14-02-2018,61.8,61.8,40.75,-0.07185039370078744,0.2045133991537377,0.25791660696374846,0.5014144271570015,-0.34061488673139156
ANANTRAJ,anantraj,ARI,Jun 2018 - Sep 2018,18-10-2018,36.9,37.4,31.3,0.24334251606978882,0.2978723404255319,0.07221471326510913,0.5843971631205673,-0.1517615176151761
ANANTRAJ,anantraj,ARI,Dec 2017 - Mar 2018,01-06-2018,40.65,46.45,36.45,0.26161738080869046,0.38520994359724253,0.1673819742489271,0.46245059288537543,0.14268142681426826
ANDHRSUGAR,andhrasugars,AS18,Jun 2022 - Sep 2022,12-11-2022,135.6,135.7,128.3,-0.1919368974583698,-0.2891220002873975,-0.08212100834823102,-0.4577016040430676,-0.0538348082595869
ANDHRSUGAR,andhrasugars,AS18,Mar 2022 - Jun 2022,10-08-2022,136.45,151.75,133.45,-0.236764705882353,-0.0645412997436184,0.1391979144563338,-0.08999095568284593,0.11212898497618184
ANDHRSUGAR,andhrasugars,AS18,Dec 2021 - Mar 2022,28-05-2022,130.45,139.2,113.15,0.3828775267538644,0.44649214659685865,0.10291580096489072,0.48693126815101645,-0.13261786124952077
ANDHRSUGAR,andhrasugars,AS18,Sep 2021 - Dec 2021,13-02-2021,308.9,449.45,286.55,0.1560693641618498,0.22020431328036325,0.07619384089972324,0.24690026954177896,0.4550016186468113
ANDHRSUGAR,andhrasugars,AS18,Jun 2021 - Sep 2021,13-11-2021,669.05,719.25,129.05,-0.25913242009132414,-0.10625909752547313,0.12138016019716573,-0.09448818897637784,-0.8071145654285928
ANDHRSUGAR,andhrasugars,AS18,Mar 2021 - Jun 2021,,566.9,693.05,499.1,-0.16319129646418865,-0.13552631578947366,0.024447453692508617,-0.1419228253760629,0.22252601869818306
ANDHRSUGAR,andhrasugars,AS18,Jun 2020 - Sep 2020,,280.35,346.3,280.35,-0.04489164086687307,0.03669906764530836,0.07755813655359844,0.06512345679012345,0.23524166220795428
ANDHRSUGAR,andhrasugars,AS18,Mar 2020 - Jun 2020,13-08-2020,317.55,330.95,271.85,-0.08370370370370377,-0.03542009884678746,0.04458280060036679,-1.4258831297457908,-0.14391434419776408
ANDHRSUGAR,andhrasugars,AS18,Dec 2019 - Mar 2020,27-06-2020,263.05,346.25,251.5,0.13055365686944634,0.05827366746221161,-0.08302786990166976,0.5759390310288515,0.31628967876829495
ANDHRSUGAR,andhrasugars,AS18,Sep 2019 - Dec 2019,02-02-2019,307.0,369.55,295.8,-0.5605345911949686,-0.6084477296726504,-0.030756419899000877,-0.6848523748395379,0.20374592833876226
ANDHRSUGAR,andhrasugars,AS18,Jun 2019 - Sep 2019,,300.5,364.35,277.85,-0.08110831234256924,-0.06355042016806728,0.01620931384046081,0.07161904761904758,0.2124792013311149
ANDHRSUGAR,andhrasugars,AS18,Mar 2019 - Jun 2019,,296.55,314.9,260.5,-0.0200372786579683,0.07851851851851852,0.09660671240496933,0.08719737382027082,-0.12156466025965271
ANDHRSUGAR,andhrasugars,AS18,Dec 2018 - Mar 2019,,318.6,321.1,264.45,0.04751027866605752,-0.02009646302250804,-0.07066619751348804,0.02922004944931455,-0.1699623352165726
ANDHRSUGAR,andhrasugars,AS18,Sep 2018 - Dec 2018,03-02-2018,615.4,615.4,365.25,0.11318944844124713,0.18991331757289204,0.08626828065947308,0.14656170409817085,-0.4064835879103022
ANDHRSUGAR,andhrasugars,AS18,Jun 2018 - Sep 2018,03-11-2018,371.1,386.9,292.5,-0.16116819902650084,-0.17525940337224377,-0.011988970147464334,-0.18014107433532286,-0.21180274858528703
ANDREWYU,andrewyulecompany,AYC,Jun 2022 - Sep 2022,14-11-2022,20.95,28.0,20.95,2.10381679389313,1.5399014778325124,0.5108835928761938,1.7140023800079334,0.3365155131264917
ANDREWYU,andrewyulecompany,AYC,Mar 2022 - Jun 2022,12-08-2022,21.15,23.0,19.55,0.8654910096818811,0.8527980535279805,-0.09498680738786278,0.010555555555555627,0.0874704491725769
ANDREWYU,andrewyulecompany,AYC,Dec 2021 - Mar 2022,30-05-2022,22.4,22.45,19.0,3.3701799485861184,7.925619834710744,-1.920963855421687,0.6883773161145423,-0.15178571428571422
ANDREWYU,andrewyulecompany,AYC,Jun 2021 - Sep 2021,12-11-2021,24.4,28.45,21.75,1.35410094637224,1.1314285714285715,0.628743961352657,1.2147862648913805,0.1659836065573771
ANDREWYU,andrewyulecompany,AYC,Mar 2021 - Jun 2021,13-08-2021,27.25,28.15,23.9,-4.858574610244988,-6.144927536231884,-0.21947516807633913,-3.0505709624796085,-0.12293577981651381
ANGIND,angindustries,ANG,Mar 2018 - Jun 2018,,2.6,2.75,1.45,0.24566238647040395,-1.1538461538461535,-1.8552631578947367,-1.4340659340659336,-0.44230769230769235
ANGIND,angindustries,ANG,Dec 2017 - Mar 2018,,3.5,3.5,2.35,-0.49663705056879515,-0.15178571428571422,0.2304147465437788,-0.15801354401805875,-0.32857142857142857
ANGIND,angindustries,ANG,Sep 2017 - Dec 2017,14-02-2017,10.65,12.8,8.9,0.709664891256103,0.5027685492801771,-0.7125748502994012,0.38693957115009747,0.2018779342723005
ANGIND,angindustries,ANG,Jun 2017 - Sep 2017,14-12-2017,5.85,7.95,4.9,-0.7964838524746797,-4.55902004454343,-2.0944055944055946,-3.2527821939586645,0.3589743589743591
ANGIND,angindustries,ANG,Mar 2017 - Jun 2017,27-07-2017,7.85,9.1,5.3,0.6601070808070063,-0.1330128205128205,-2.3333333333333335,-0.15663551401869164,-0.3248407643312102
ANGIND,angindustries,ANG,Dec 2016 - Mar 2017,,7.35,9.1,5.3,0.7604840392238682,0.8115275813295616,0.21322033898305082,0.7750484809308339,-0.2789115646258503
ANGELONE,angelone,ABL03,Jun 2022 - Sep 2022,13-10-2022,1588.35,1649.6,1436.1,0.09429165703720835,0.15367253498420058,0.0655337435296416,0.15007492039707815,-0.09585418830862216
ANGELONE,angelone,ABL03,Dec 2021 - Mar 2022,20-04-2022,1624.1,1949.2,1096.9,0.08567511994516791,0.18640029949290401,0.11017757120724575,0.19610142166202543,-0.3246105535373437
ANGELONE,angelone,ABL03,Sep 2021 - Dec 2021,17-01-2022,1358.6,1718.75,1230.4,0.06496751624187909,0.17460051869823479,0.11715663296055717,0.1844424187177151,0.2650890622699839
AISL,aniintegratedservices,AIS02,Sep 2021 - Dec 2021,,61.75,63.5,47.65,0.27596899224806204,0.25106382978723407,-0.033488882788910206,0.18750000000000003,-0.22834008097165995
AISL,aniintegratedservices,AIS02,Jun 2021 - Sep 2021,12-11-2021,53.0,69.0,44.0,-0.23126338329764456,-0.13636363636363635,0.07649402390438235,-0.14685314685314682,0.3018867924528302
AISL,aniintegratedservices,AIS02,Mar 2021 - Jun 2021,12-08-2021,49.4,71.0,37.5,-0.13043478260869565,-0.10499999999999998,0.021857923497267905,-0.37195121951219523,0.43724696356275305
ANIKINDS,anikindustries,AI57,Jun 2022 - Sep 2022,14-11-2022,41.65,41.65,36.5,-0.5134615384615384,-2.0942028985507246,-1.0448379804069332,-34.86666666666667,-0.12364945978391353
ANIKINDS,anikindustries,AI57,Mar 2022 - Jun 2022,10-08-2022,31.8,47.35,31.8,-0.7534942820838628,-1.39344262295082,-0.364842454394693,0.11152416356877318,0.4889937106918239
ANIKINDS,anikindustries,AI57,Dec 2021 - Mar 2022,30-05-2022,29.5,45.6,25.3,0.7202898550724638,0.7681017612524462,0.1711894154178479,0.8807531380753137,0.5457627118644068
ANIKINDS,anikindustries,AI57,Sep 2021 - Dec 2021,12-02-2021,15.4,17.25,11.75,-1.1165803108808292,-1.1645569620253162,-0.023130803062388038,-3.8771929824561404,-0.23701298701298704
ANIKINDS,anikindustries,AI57,Jun 2021 - Sep 2021,13-11-2021,21.45,37.95,19.4,-0.020807833537331694,0.26315789473684215,0.27845884413309985,0.6834532374100719,0.7692307692307694
ANIKINDS,anikindustries,AI57,Mar 2021 - Jun 2021,14-08-2021,20.3,24.0,17.05,0.25059952038369304,-0.19841269841269854,-0.5981906443071493,-0.9659090909090908,0.18226600985221672
ANIKINDS,anikindustries,AI57,Jun 2020 - Sep 2020,13-11-2020,11.7,24.55,10.95,3.2617382617382615,2.015463917525773,0.5510835913312694,-2.026548672566372,1.0982905982905984
ANIKINDS,anikindustries,AI57,Mar 2020 - Jun 2020,15-09-2020,12.65,18.5,10.95,-1.5101590106007066,-25.827411167512693,-9.688505747126436,-10.035087719298247,0.46245059288537543
ANIKINDS,anikindustries,AI57,Dec 2019 - Mar 2020,,13.55,17.15,11.65,1.0490937884919938,1.0698202459791863,-0.4243467039466609,1.0331213566507684,0.2656826568265681
ANIKINDS,anikindustries,AI57,Sep 2019 - Dec 2019,21-02-2019,16.95,17.6,13.05,0.0035842293906810864,-0.18699186991869918,-0.1905624764061911,0.11999999999999993,-0.23008849557522115
ANIKINDS,anikindustries,AI57,Jun 2019 - Sep 2019,14-11-2019,9.55,11.8,7.6,1.7697841726618706,1.5639269406392693,0.26691610121123727,4.2,0.23560209424083767
