SYMBOL,SECTOR
FIBERWEB,plastics
FIDEL,itservicesconsulting
FIEMIND,autoancillaries
FILATEX,textilesmanmade
FINEORG,miscellaneous
FCL,fineotexchem
FINOPB,finopayments
FINCABLES,cablestelephone
FINPIPE,petrochemicals
FIRSTWIN,textilesgeneral
FSL,computerssoftwaremediumsmall
FIVESTAR,miscellaneous
FLEXITUFF,packaging
FOCE,retailing
FOCUS,miscellaneous
FORBESGOK,textilesspinningcottonblended
FORCEMOT,autolcvshcvs
FORTIS,hospitalsmedicalservices
FOSECOIND,chemicals
FKONCO,pharmaceuticals
FROG,miscellaneous
NYKAA,miscellaneous
FULFORD,pharmaceuticals
FUSION,financeothers
FCONSUMER,foodprocessing
FEL,retail
FELDVR,miscellaneous
FLFL,retail
FMNL,miscellaneous
FRETAIL,retail
FSC,transportlogistics
GRINFRA,constructioninfrastructure
GABRIEL,autoancillaries
GAIL,oildrillingandexploration
GALPOWTEL,cablespowerothers
GALAXYSURF,miscellaneous
GALLANTT,gallanttispat
GALLISPAT,steelspongeiron
GAMMONIND,constructioncontractingcivil
GANDHITUBE,steeltubespipes
GANESHBE,chemicals
SGFL,castingsforgings
GANESHHOUC,constructioncontractinghousing
GANECOS,textilesprocessing
GANGAFORGE,gangaforging
GANGESSECU,financegeneral
GANGOTRI,textilesspinningcottonblended
GRSE,engineeringheavy
GARDENSILK,textilesweaving
GARFIBRES,textilesgeneral
GDL-RE,gatewaydistre
GATEWAY,miscellaneous
GATI,couriers
GAYAHWS,engineeringconstruction
GAYAPROJ,constructioncontractingcivil
GBGLOBAL,textilesgeneral
GEPIL,powertransmissionequipment
GESHIP,shipping
GET&D,powertransmissionequipment
GEECEE,geeceeventures
GEEKAYWIRE,consumergoodselectronic
GEINDSYS,engineering
GEMSPIN,textilesspinningcottonblended
GEMINI,telecommunicationsequipment
GICRE,diversified
GENCON,miscellaneous
GENESYS,computerssoftwaremediumsmall
GENUSPAPER,paper
GENUSPOWER,electricals
GEOJITFSL,financegeneral
GEOMETRIC,computerssoftware
GFLLIMITED,chemicals
GISOLUTION,computerssoftwaremediumsmall
GICHSGFIN,financehousing
GILLANDERS,diversified
GILLETTE,personalcare
GILT5YBEES,gilt5ybees
GINNIFILA,textilesspinningcottonblended
NARMADASUG,sugar
GIRIRAJ,cementmajor
GITANJALI,diamondcuttingjewellerypreciousmetals
GKB,personalcare
GKWLIMITED,fasteners
GLAND,pharmaceuticalsdrugs
GSKCONS,foodprocessing
GLAXO,pharmaceuticals
GLENMARK,pharmaceuticals
GLS,pharmaceuticalsdrugs
GLOBAL,iteducation
MEDANTA,hospitalhealthcareservices
GLOBOFFS,shipping
GLOBALVECT,transportlogistics
GICL,diversified
GLOBE,textilesgeneral
GSTL,itservicesconsulting
KARUNACAB,cablespowerothers
GLOBUSSPR,breweriesdistilleries
GLODYNE,computerssoftwaremediumsmall
GLORY,packaging
GMBREW,breweriesdistilleries
GMMPFAUDLR,engineeringheavy
GMRINFRA,infrastructuregeneral
GMRP&UI,powergenerationdistribution
GNA,autoancillaries
GNFC,fertilisers
GOCOLORS,retailing
GOACARBON,petrochemicals
GOCLCORP,chemicals
GPIL,steelspongeiron
GODFRYPHLP,cigarettes
GODHA,electronicscomponents
GODREJAGRO,miscellaneous
GODREJCP,personalcare
GODREJIND,personalcare
GODREJPROP,constructioncontractingrealestate
GOENKA,diamondcuttingjewellerypreciousmetals
GOKEX,textilesreadymadeapparels
GOKULAGRO,edibleoilssolventextraction
GOKUL,edibleoilssolventextraction
GTOFFSHORE,shipping
GOLCRESFIN,financegeneral
GOLDENTOBC,cigarettes
GOLDIAM,diamondcuttingjewellerypreciousmetals
GOLDSTAR,electricals
GOLDTECH,computerssoftwaremediumsmall
GONTERPEIP,castingsforgings
GOODLUCK,steeltubespipes
GOODRICKE,plantationsteacoffee
GOODYEAR,tyres
GOVINRUBER,tyres
GOYALALUM,trading
GULFPETRO,lubricants
GPTINFRA,constructioncontractingcivil
GFSTEELS,grandfoundry
GRANULES,pharmaceuticals
GRAPHITE,electrodesgraphite
GRASIM,diversified
GRAUWEIL,chemicals
GRAVITA,metalsnonferrous
GREAVESCOT,engines
GREENLAM,miscellaneous
GREENPANEL,greenpanelind
GREENPLY,miscellaneous
GRETEX,textilesreadymadeapparels
GRINDWELL,abrasives
GRMOVER,foodprocessing
GRPLTD,rubber
GRUH,financehousing
GRWRHITECH,packaging
GSFC,fertilisers
GSLNOVA,textilesmanmade
GSS,computerssoftwaremediumsmall
GTL,telecommunicationsequipment
GTLINFRA,telecommunicationsequipment
GTNIND,textilesspinningcottonblended
GTNTEX,textilesgeneral
GTPL,mediaentertainment
GUFICBIO,pharmaceuticals
GUJALKALI,chemicals
GAEL,gujambexports
GUJBOROSIL,glassglassproducts
GUJCOTEX,textilesprocessing
GHCL,chemicals
GIPCL,powergenerationdistribution
GLFL,financeleasinghirepurchase
GMDCLTD,miningminerals
GUJNREDVR,miscellaneous
GUJNRECOKE,miningminerals
GUJRAFFIA,packaging
GSCLCEMENT,cementmajor
GUJSTATFIN,financetermlendinginstitutions
GSPL,oildrillingandexploration
GUJTHEMIS,pharmaceuticals
GUJAPOLLO,engineeringheavy
FLUOROCHEM,chemicals
GUJGASLTD,oildrillingandexploration
GPPL,shipping
GULFOILLUB,lubricants
GULPOLY,chemicals
GVKPIL,powergenerationdistribution
GAL,steelspongeiron
HANUNG,miscellaneous
HAPPSTMNDS,computerssoftware
