URL,companysector,companyname,companycode
https://www.moneycontrol.com/india/stockpricequote/hotels/tulipstarhotel/TSH02,hotels,tulipstarhotel,TSH02
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/tuliptelecom/TT13,telecommunicationsservice,tuliptelecom,TT13
https://www.moneycontrol.com/india/stockpricequote/machinetools/tulivedevelopers/TD03,machinetools,tulivedevelopers,TD03
https://www.moneycontrol.com/india/stockpricequote/plastics/tulsiextrusions/TE11,plastics,tulsiextrusions,TE11
https://www.moneycontrol.com/india/stockpricequote/sugar/tulsipursugarcompany/TSC01,sugar,tulsipursugarcompany,TSC01
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/tulsyannec/TNE,steelmediumsmall,tulsyannec,TNE
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tungabhadraindustries/TIL01,miscellaneous,tungabhadraindustries,TIL01
https://www.moneycontrol.com/india/stockpricequote/paper/tungabhadrapulpboardmills/TPB,paper,tungabhadrapulpboardmills,TPB
https://www.moneycontrol.com/india/stockpricequote/textilesweaving/tunitextilemills/TTM,textilesweaving,tunitextilemills,TTM
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/turboindustries/TI19,miscellaneous,turboindustries,TI19
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/turbotechengineering/TEL01,computerssoftwaremediumsmall,turbotechengineering,TEL01
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tusconexports/TEL03,miscellaneous,tusconexports,TEL03
https://www.moneycontrol.com/india/stockpricequote/chemicals/tuticorinalkalichemicalsfertilizers/TAC02,chemicals,tuticorinalkalichemicalsfertilizers,TAC02
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tutistechnologies/TT12,computerssoftwaremediumsmall,tutistechnologies,TT12
https://www.moneycontrol.com/india/stockpricequote/educationalinstitutions/tutorialspointindia/TPI02,educationalinstitutions,tutorialspointindia,TPI02
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/televisioneighteen/TE08,mediaentertainment,televisioneighteen,TE08
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvtodaynetwork/TVT,mediaentertainment,tvtodaynetwork,TVT
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvvision/TVV,mediaentertainment,tvvision,TVV
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,mediaentertainment,tv18broadcast,IBN
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/tvsautolec/TVS04,autoancillaries,tvsautolec,TVS04
https://www.moneycontrol.com/india/stockpricequote/computershardware/tvselectronics/TVS02,computershardware,tvselectronics,TVS02
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/tvsfinanceandservices/TVS05,financeleasinghirepurchase,tvsfinanceandservices,TVS05
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tvslakshmicredit/TVS01,financeinvestments,tvslakshmicredit,TVS01
https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,auto23wheelers,tvsmotorcompany,TVS
https://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03,tyres,tvssrichakra,TVS03
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/twilightlitakapharma/TLP,pharmaceuticals,twilightlitakapharma,TLP
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/twincitiesinfotech/TCI05,computerssoftwaremediumsmall,twincitiesinfotech,TCI05
https://www.moneycontrol.com/india/stockpricequote/trading/twinrosestradesagencies/TRT,trading,twinrosestradesagencies,TRT
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/twinstarindustries/TSE,computerssoftwaremediumsmall,twinstarindustries,TSE
https://www.moneycontrol.com/india/stockpricequote/chemicals/tycheindustries/TI30,chemicals,tycheindustries,TI30
https://www.moneycontrol.com/india/stockpricequote/financegeneral/typhoonfinancialservices/TFS,financegeneral,typhoonfinancialservices,TFS
https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/typhoonholdings/THL01,textilesspinningsyntheticblended,typhoonholdings,THL01
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tyroonteacompany/TTC,plantationsteacoffee,tyroonteacompany,TTC
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/uhzaveri/UHZ,diamondcuttingjewellerypreciousmetals,uhzaveri,UHZ
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/uyfincorp/GS04,financeleasinghirepurchase,uyfincorp,GS04
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/ubengineering/UBE,engineeringheavy,ubengineering,UBE
https://www.moneycontrol.com/india/stockpricequote/trading/unitedbreweriesholdings/UBH,trading,unitedbreweriesholdings,UBH
https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/ubeindustries/UI12,electrodesgraphite,ubeindustries,UI12
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS,autoancillaries,ucalfuelsystems,UFS
